time,ax,ay,az,gx,gy,gz,mx,my,mz,depth,current,voltage,temperature
2022-12-13 19:01:30.951210,,,,,,,,,,,,,28.96
2022-12-13 19:01:31.458689,0.01,-0.0,1.02,-0.12,-0.77,1.85,-0.6,0.94,-0.57,,,,
2022-12-13 19:01:31.501966,,,,,,,,,,-0.07,,,
2022-12-13 19:01:31.503511,,,,,,,,,,,,,28.96
2022-12-13 19:01:32.011369,0.01,-0.0,1.02,-0.63,0.71,1.67,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:32.054565,,,,,,,,,,-0.07,,,
2022-12-13 19:01:32.056369,,,,,,,,,,,,,28.96
2022-12-13 19:01:32.193254,,,,,,,,,,,1.13,,
2022-12-13 19:01:32.193687,,,,,,,,,,,,12.24,
2022-12-13 19:01:32.564363,0.01,-0.0,1.02,-0.87,-1.34,1.77,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:32.607371,,,,,,,,,,-0.07,,,
2022-12-13 19:01:32.609120,,,,,,,,,,,,,28.96
2022-12-13 19:01:33.116993,0.01,-0.0,1.02,-0.64,0.48,2.02,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:33.160405,,,,,,,,,,-0.07,,,
2022-12-13 19:01:33.162552,,,,,,,,,,,,,28.97
2022-12-13 19:01:33.669838,0.01,-0.0,1.02,-0.63,-0.88,2.07,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:33.712968,,,,,,,,,,-0.07,,,
2022-12-13 19:01:33.714922,,,,,,,,,,,,,28.97
2022-12-13 19:01:33.717604,,,,,,,,,,,1.38,,
2022-12-13 19:01:33.718074,,,,,,,,,,,,12.24,
2022-12-13 19:01:34.222619,0.01,-0.0,1.01,-1.29,-0.25,1.28,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:34.265740,,,,,,,,,,-0.07,,,
2022-12-13 19:01:34.267578,,,,,,,,,,,,,28.97
2022-12-13 19:01:34.775465,0.01,0.0,1.02,-0.95,-0.74,1.27,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:34.818712,,,,,,,,,,-0.06,,,
2022-12-13 19:01:34.820518,,,,,,,,,,,,,28.97
2022-12-13 19:01:35.242302,,,,,,,,,,,1.0,,
2022-12-13 19:01:35.242508,,,,,,,,,,,,12.24,
2022-12-13 19:01:35.328639,0.01,-0.0,1.01,-0.7,-0.76,1.22,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:35.371615,,,,,,,,,,-0.06,,,
2022-12-13 19:01:35.373536,,,,,,,,,,,,,28.97
2022-12-13 19:01:35.881089,0.0,-0.0,1.02,-0.56,0.38,2.35,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:35.924378,,,,,,,,,,-0.07,,,
2022-12-13 19:01:35.926151,,,,,,,,,,,,,28.97
2022-12-13 19:01:36.434041,0.01,-0.0,1.02,-0.61,-1.2,2.61,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:36.477170,,,,,,,,,,-0.06,,,
2022-12-13 19:01:36.478901,,,,,,,,,,,,,28.97
2022-12-13 19:01:36.767006,,,,,,,,,,,1.25,,
2022-12-13 19:01:36.767718,,,,,,,,,,,,12.24,
2022-12-13 19:01:36.986947,0.01,-0.0,1.02,-1.09,0.75,2.21,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:37.030156,,,,,,,,,,-0.07,,,
2022-12-13 19:01:37.031886,,,,,,,,,,,,,28.98
2022-12-13 19:01:37.539955,0.02,-0.01,1.02,-0.28,-0.88,1.02,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:37.583326,,,,,,,,,,-0.06,,,
2022-12-13 19:01:37.584968,,,,,,,,,,,,,28.98
2022-12-13 19:01:38.093262,0.01,-0.0,1.02,-1.02,0.35,1.13,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:38.135863,,,,,,,,,,-0.07,,,
2022-12-13 19:01:38.138066,,,,,,,,,,,,,28.98
2022-12-13 19:01:38.291668,,,,,,,,,,,1.13,,
2022-12-13 19:01:38.292918,,,,,,,,,,,,12.24,
2022-12-13 19:01:38.645391,0.01,-0.0,1.02,-1.04,-1.76,1.2,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:38.688935,,,,,,,,,,-0.07,,,
2022-12-13 19:01:38.690438,,,,,,,,,,,,,28.98
2022-12-13 19:01:39.198215,0.01,-0.0,1.02,-0.71,0.32,1.93,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:39.241584,,,,,,,,,,-0.06,,,
2022-12-13 19:01:39.243329,,,,,,,,,,,,,28.98
2022-12-13 19:01:39.751138,0.01,-0.0,1.02,-0.36,-0.87,2.98,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:39.794830,,,,,,,,,,-0.07,,,
2022-12-13 19:01:39.796265,,,,,,,,,,,,,28.98
2022-12-13 19:01:39.816049,,,,,,,,,,,1.38,,
2022-12-13 19:01:39.816572,,,,,,,,,,,,12.25,
2022-12-13 19:01:40.303991,0.01,-0.0,1.02,-1.01,-0.02,2.42,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:40.347170,,,,,,,,,,-0.07,,,
2022-12-13 19:01:40.349315,,,,,,,,,,,,,28.98
2022-12-13 19:01:40.856456,0.01,-0.0,1.02,-0.88,-0.21,2.64,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:40.899565,,,,,,,,,,-0.07,,,
2022-12-13 19:01:40.901250,,,,,,,,,,,,,28.99
2022-12-13 19:01:41.340284,,,,,,,,,,,1.13,,
2022-12-13 19:01:41.340829,,,,,,,,,,,,12.24,
2022-12-13 19:01:41.409775,0.01,-0.0,1.02,-0.32,-1.11,2.13,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:41.452518,,,,,,,,,,-0.06,,,
2022-12-13 19:01:41.454240,,,,,,,,,,,,,28.99
